Date,Time,Open,High,Low,Close,Volume
2019.07.03,16:00,1.12744,1.1284,1.12715,1.12807,2622
2019.07.03,17:00,1.12809,1.12842,1.12766,1.12785,1162
2019.07.03,18:00,1.12785,1.12806,1.12767,1.12778,798
2019.07.03,19:00,1.12778,1.12803,1.12772,1.12774,511
2019.07.03,20:00,1.12775,1.12786,1.12752,1.12768,862
2019.07.03,21:05,1.1277,1.12807,1.12769,1.12802,307
2019.07.03,22:05,1.12803,1.12874,1.12802,1.12864,698
2019.07.03,23:05,1.12865,1.12879,1.12857,1.12869,669
2019.07.04,00:00,1.12869,1.12886,1.12843,1.12864,770
2019.07.04,01:00,1.12863,1.12941,1.12859,1.12939,968
2019.07.04,02:00,1.12938,1.12948,1.12819,1.12831,1176
2019.07.04,03:00,1.12832,1.12867,1.12815,1.12818,861
2019.07.04,04:00,1.12818,1.1286,1.12814,1.12854,549
2019.07.04,05:00,1.12853,1.12859,1.1282,1.12833,702
2019.07.04,06:00,1.12835,1.1285,1.12807,1.12832,1625
2019.07.04,07:00,1.12831,1.12846,1.12791,1.12832,3030
2019.07.04,08:00,1.12833,1.12895,1.12786,1.12794,2974
2019.07.04,09:00,1.12782,1.12855,1.1277,1.12848,2622
2019.07.04,10:00,1.12847,1.12897,1.12812,1.12855,2409
2019.07.04,11:00,1.12854,1.12893,1.12837,1.12861,1618
2019.07.04,12:00,1.12861,1.12884,1.12821,1.12827,1824
2019.07.04,13:00,1.12828,1.12828,1.12728,1.12782,2394
2019.07.04,14:00,1.12782,1.12819,1.12771,1.12813,1500
2019.07.04,15:00,1.12813,1.12837,1.12789,1.12818,1573
2019.07.04,16:00,1.12818,1.12842,1.12804,1.12807,1044
2019.07.04,17:00,1.12807,1.12833,1.12807,1.12821,437
2019.07.04,18:00,1.12822,1.12848,1.12821,1.12847,354
2019.07.04,19:00,1.12846,1.12853,1.12838,1.12838,357
2019.07.04,20:00,1.12838,1.12851,1.12828,1.12833,954
2019.07.04,21:05,1.12811,1.12855,1.12811,1.12853,259
2019.07.04,22:05,1.12851,1.12874,1.12838,1.12863,594
2019.07.04,23:05,1.12863,1.12863,1.12844,1.12849,491
2019.07.05,00:00,1.1285,1.12857,1.12793,1.12796,887
2019.07.05,01:00,1.12795,1.12819,1.12775,1.1279,867
2019.07.05,02:00,1.12789,1.12816,1.12784,1.12814,747
2019.07.05,03:00,1.12813,1.12841,1.12811,1.1282,504
2019.07.05,04:00,1.12821,1.12822,1.128,1.12806,481
2019.07.05,05:00,1.12805,1.12809,1.12775,1.12787,959
